Datetime,PM2.5,NO,NO2,NOx,NH3,CO,SO2,O3,AQI
05-07-2015 01:00,24.88,0.65,6.54,5.72,4.42,,1.91,4.31,488
07-09-2015 07:00,3.56,2.89,12.15,8.35,26.62,,1.48,,486
07-09-2015 06:00,3.29,1.97,11.9,7.48,23.59,,1.04,,486
07-09-2015 00:00,18.28,1.8,8.5,5.57,16.23,48.65,0.81,,486
23-11-2016 08:00,52.94,8.68,34.39,0,52.65,0.42,2.28,13.05,483
23-11-2016 07:00,49.97,9.94,33.38,0,53.88,16.29,1.7,9.48,483
31-10-2015 11:00,21.23,1.14,28.39,19.69,74.29,,6.32,20.41,476
31-10-2015 10:00,18.77,1.22,26.73,17.48,82.91,1.02,5.72,13.14,476
31-10-2015 06:00,11.93,0.46,17.23,10.84,68.92,1.13,1.64,8.16,476
31-10-2015 05:00,10.15,0.52,14.76,9.87,63.69,24.22,3.8,7.33,476
31-10-2015 09:00,21.62,2.96,26.29,21,84.55,1.31,4.24,6.94,476
31-10-2015 07:00,13.24,1.14,20.58,14.86,71.33,1.12,2.12,6.86,476
31-10-2015 08:00,22.51,3.54,24.59,21.24,78.01,1.34,2.94,5.03,476
19-07-2016 20:00,173.97,33.71,55.09,87.8,48.23,,7.15,,476
19-07-2016 19:00,219.72,5.2,10.34,5.78,23.55,,3.97,,476
19-07-2016 21:00,,3.75,16.12,10.3,,0.7,2.32,,476
19-07-2016 18:00,110.95,0.73,4.24,3.51,18.75,,2.09,,476
19-07-2016 22:00,,3.84,11.59,8.31,,0.68,2.02,,476
19-07-2016 17:00,116.17,2.31,4.5,2.33,17.07,46.89,1.82,,476
23-11-2016 02:00,57.68,4.5,33.38,0,61.42,23.06,2.68,28.85,471
23-11-2016 03:00,54.88,4.29,29.9,,57.65,0.35,2.9,26.75,471
23-11-2016 04:00,53.32,4.32,29.7,,55.9,0,2.36,21.32,471
23-11-2016 05:00,48.82,4,30.29,0,54.32,0,1.76,20.06,471
23-11-2016 06:00,52.66,4.48,31.04,0,53.89,0,1.48,12.13,471
14-08-2015 18:00,25.38,5.14,21.21,12.51,29.5,49.92,2.28,10.57,464
06-09-2015 17:00,7.07,2.53,11.95,7.96,26.39,,1.91,,462
06-09-2015 16:00,7.23,2.09,9.85,6.5,21.47,,1.56,,462
06-09-2015 19:00,23.28,2.27,14.12,8.88,31.13,,1.49,,462
06-09-2015 18:00,21.68,2.24,12.29,7.9,27.8,,1.49,,462
06-09-2015 15:00,7.05,2.03,9.5,6.28,21.51,44.52,1.43,,462
06-09-2015 20:00,22.12,2.26,14.71,9.18,31.92,,1.23,,462
06-09-2015 21:00,28.88,2.05,9.63,6.37,20.38,,1.14,,462
06-09-2015 22:00,22.1,1.92,10.43,6.68,20.54,,0.87,,462
17-08-2015 00:00,25.12,3.36,16.93,9.66,20.77,47.07,0.8,5.14,460
02-05-2015 17:00,21.71,9.84,22,12.83,19.65,1.06,0.59,78.81,453
02-05-2015 18:00,8.12,14.8,25.23,16.4,85.12,,0.4,30.74,453
02-05-2015 20:00,51.31,9.89,37.25,21.28,,,0.37,13.3,453
02-05-2015 16:00,50.67,6.29,7.58,6.5,6.67,,0.6,13.07,453
02-05-2015 19:00,30.28,17.87,37.22,24.85,,,0.4,12.62,453
02-05-2015 13:00,34,2.33,13.52,107.94,54.1,21.5,9.56,11.96,453
02-05-2015 14:00,27.69,3.09,7.1,10.83,58.06,0,1.84,11.24,453
02-05-2015 15:00,46.57,1.62,6.4,7.87,35.55,0,0.89,11.09,453
01-07-2015 21:00,31.65,0.84,12.76,6.04,6.66,46.28,4.94,6.09,447
14-07-2015 03:00,15.86,4.25,8.73,7.97,7.48,,2.94,,445
14-07-2015 04:00,23.07,4.34,8.84,8.1,7.67,,0.99,,445
14-07-2015 05:00,19.36,4.45,9.04,8.29,7.77,,0.43,,445
14-07-2015 18:00,27.78,3.77,14.31,9.54,12.32,9.03,2.46,9.4,437
14-07-2015 16:00,16.71,3.35,10.82,7.95,10.16,40.3,3.45,9.03,437
14-07-2015 19:00,44.69,3.32,16.49,10.77,12.59,,1.89,7.85,437
14-07-2015 20:00,50.52,3.59,22.84,14.2,16.79,1.36,2.3,7,437
14-07-2015 21:00,41.83,3.76,18.68,12.18,15.33,1.16,4.32,4.94,437
14-07-2015 23:00,40.43,2.53,9.96,7.01,8.92,,2.07,4.6,437
14-07-2015 22:00,34.11,3.82,14.68,10.12,10.22,,2.7,4.26,437
14-07-2015 17:00,10.01,4.75,11.45,9.8,10.72,,1.97,,437
15-07-2015 20:00,23.24,4.23,44.75,25.1,11.82,38.9,2.84,5.56,429
15-07-2015 21:00,27.08,4.86,35.88,21.08,9.45,,4.04,5,429
16-07-2015 00:00,18.62,2.88,30.36,17.12,7.23,,1.49,4.92,429
15-07-2015 22:00,25.5,3.38,28.04,16.34,9.07,,2.71,4.86,429
15-07-2015 23:00,25.34,3.03,45.68,24.69,7.65,,1.76,4.84,429
16-07-2015 02:00,13.27,3.24,21.74,13.15,7.77,,1.94,4.56,429
16-07-2015 03:00,14.32,3.04,18.27,11.34,7.45,,1.62,4.55,429
16-07-2015 01:00,19.3,3.39,25.55,15.09,7.68,,1.4,4.51,429
06-07-2015 00:00,21.84,0.34,6.82,5.6,3.59,6.56,2.41,7.7,428
06-07-2015 01:00,16.52,0.54,5.11,2.02,4.01,2.25,1.76,7.4,428
05-07-2015 23:00,20.62,0.49,10.48,4.64,4.32,49.36,2.15,6.73,428
17-08-2015 01:00,20.6,3.22,14.06,8.14,17.5,38.08,1.18,5.72,426
07-07-2016 21:00,,3.34,18.5,16.43,28.68,0.6,8.22,,424
07-07-2016 20:00,,3.42,17.96,16.5,30.29,0.7,7.79,,424
07-07-2016 19:00,,3.66,16.06,13.81,29.38,0.62,6.32,,424
07-07-2016 18:00,,3.03,13.96,13.4,30.47,0.64,5.92,,424
07-07-2016 16:00,,3.08,16.52,12.58,51.11,19.43,5.15,,424
07-07-2016 17:00,,2.84,12.88,12.48,28.19,0.62,4.92,,424
24-07-2015 22:00,25.44,2.61,12.34,8.21,9.04,,6.68,6.01,417
24-07-2015 18:00,26.83,3.1,9.65,7.24,10.8,15.76,8.35,5.62,417
24-07-2015 20:00,19.48,2.93,14.28,9.45,13.02,,8.06,5.22,417
24-07-2015 21:00,28.2,2.82,13.92,9.2,11.49,,7.64,5.14,417
24-07-2015 19:00,18.98,3.15,12.52,8.69,11.94,,7.57,5,417
05-07-2015 22:00,31.18,1,17.58,8.46,5.65,44.66,1.88,6.94,414
23-11-2016 09:00,61.44,8.02,35.39,0,53.32,0.37,3.56,44.73,412
23-11-2016 10:00,50.58,6.41,31,,55.09,0.62,3.39,50.31,409
23-11-2016 11:00,28.16,7.38,42.33,,38.34,0.78,11.26,38.26,406
14-08-2015 16:00,11.9,6.98,18.64,12.43,23.49,23.05,3.12,11.63,406
23-11-2016 12:00,30,5.56,34.89,,22.64,0.91,17.63,59.45,404
23-11-2016 13:00,25.62,6.54,34.75,,22.75,0.72,8.36,82.96,401
23-11-2016 14:00,24.84,4.94,30.74,,22.11,1.2,7.98,67.91,399
01-05-2018 02:00,54.27,2.26,10.48,5.66,,0.48,5.53,47.73,395
01-05-2018 03:00,27.13,2.43,6.29,10.89,,0.44,5.11,53.87,394
01-05-2018 04:00,13.58,2.03,6.2,4.76,,0.39,5.26,52.2,393
01-05-2018 12:00,18.08,3.72,19.49,8.67,,0.5,5.59,50.31,392
01-05-2018 11:00,32.9,3.9,18.03,8.51,,0.5,6.18,45.55,392
01-05-2018 10:00,60.9,4.81,30.44,12.1,,0.64,6.15,38.03,392
19-09-2015 18:00,12.6,3.64,10.9,10.06,31.13,32.31,4.58,26.94,392
19-09-2015 19:00,11.7,3.48,12.2,10.62,36.57,,3.26,21.17,392
19-09-2015 20:00,19.48,4.08,14.78,12.44,46.71,1.45,12.27,18.22,392
19-09-2015 21:00,22.92,4.23,13.45,12,46.06,1.49,4.88,7.01,392
19-09-2015 22:00,24.74,3.54,10.04,9.4,26.03,1.42,3.28,4.96,392
01-05-2018 06:00,34.86,2.36,11.7,6.22,,0.54,6.2,47.98,391
01-05-2018 05:00,12.71,2.69,9.48,5.88,,0.35,5.55,45.1,391
01-05-2018 07:00,32.96,3.68,21.51,9.69,,0.54,6.1,38.31,390
01-05-2018 09:00,60.2,3.74,33.25,12.84,,0.67,6.38,26.85,390
29-06-2015 13:00,19.26,0.7,4.39,2.22,8.08,13.08,15.49,17.14,390
13-12-2016 09:00,9.21,1.02,30.27,0,24.72,1.42,13.95,,390
01-05-2018 08:00,34.98,6.59,48.45,17.62,,0.65,4.73,21.36,389
01-05-2018 13:00,14.26,3.4,18.73,11.23,,0.29,6.04,57.66,388
13-12-2016 10:00,5.86,1.27,26.67,0,23.21,1.81,7.88,22.37,388
19-08-2015 22:00,37.03,47.89,22.8,41.17,64.5,2.09,8.09,4.29,388
19-08-2015 21:00,36.3,43.98,24.64,39.62,61.72,2.15,7.98,3.49,388
19-08-2015 18:00,38.25,10.24,23.26,18.16,59.95,9.76,11.54,3.32,388
19-08-2015 20:00,20.38,9.94,22.88,17.89,54.36,1.12,4.8,0.96,388
19-08-2015 19:00,20.4,16.87,20.13,20.64,46.83,,5.7,0.72,388
13-12-2016 11:00,5.24,1.32,47.78,0,18.02,1.83,2.17,23.38,386
01-05-2018 14:00,27.86,2.62,12.05,23.64,,0.22,4.67,63.19,384
14-08-2015 17:00,18.5,6.12,19.35,12.2,24.7,,2.53,13.28,384
01-05-2018 15:00,29.99,2.29,12.22,5.66,,1.27,2.57,64.45,382
01-05-2018 16:00,17.2,2.5,9.72,5.48,,0.86,4.33,68.42,381
01-05-2018 17:00,11.28,2.46,10.18,5.8,,0.86,4.57,66.86,381
01-05-2018 18:00,16.09,2.5,14.33,7.29,,0.46,5.97,65.49,379
17-11-2016 01:00,38.31,4.56,23.98,0,,5.61,5.61,36.73,379
13-12-2016 12:00,4.98,2.12,13.49,0,32.47,0.53,0.7,19.23,379
13-12-2016 13:00,7.49,1.88,18.34,0,31.24,0,2.76,25.08,377
13-12-2016 14:00,20.77,0.74,19.63,0,30.39,0.58,3.31,27.57,376
13-12-2016 15:00,18.4,0.92,14.14,0,27.99,1.11,3.14,20.19,374
13-12-2016 16:00,16.21,0.4,13.77,0,26.26,1.1,3.12,15.25,374
01-05-2018 19:00,24.23,2.68,27.03,11.02,,0.78,7.69,53.1,373
13-12-2016 18:00,27.91,2.96,19.07,0,27.04,1.06,2.05,22.25,373
13-12-2016 17:00,17.47,1.15,14.58,0,26.95,0.51,2.37,19.16,373
13-12-2016 20:00,24.7,1.14,19.58,0,26.85,0.76,0.82,16.59,373
13-12-2016 19:00,28.76,1.27,18.92,0,27.68,0.83,2.46,13.38,373
13-12-2016 21:00,28.15,1.18,19.73,0,26.5,0.7,1,11.89,373
13-12-2016 22:00,31.38,1.8,21.33,0,26.18,0.73,0.9,9.64,373
20-09-2015 00:00,15.13,3.11,9.01,8.64,18.48,1.26,2.26,8.41,372
19-09-2015 23:00,22.81,3.04,9.02,8.79,20.4,1.5,2.78,7.32,372
13-12-2016 23:00,26.96,2.14,21.5,0,26.43,0.66,0.98,10.41,370
29-08-2015 16:00,19.14,2.42,13.92,8.8,34.14,21.1,0.79,15.93,361
02-08-2015 03:00,10.77,2.74,8.3,5.08,8.63,23.78,1.64,3.25,352
18-05-2015 22:00,42.09,68.96,62.46,74.72,24.42,20.35,1.72,27.81,350
18-05-2015 23:00,31.11,6.02,43.19,19.7,16.61,,4.05,15.16,350
